OID_,site_name,site_id,BUFF_DIST,ORIG_FID,OverlapSit,sum_one,Point_Coun,Shape_Leng,Shape_Area
0,Caples Lake,CAP:CA:MSNT,5000.000000000000000,64,0.0000000,7.000000000000000,7,0.323261684687000,0.008132041586250
1,Mammoth Pass,MHP:CA:MSNT,5000.000000000000000,98,0.0000000,13.000000000000000,13,0.320444423428000,0.008012281097120
2,Schneiders,SCN:CA:MSNT,5000.000000000000000,114,0.0000000,7.000000000000000,7,0.323359334321000,0.008136185322520
3,Carson Pass,1067:CA:SNTL,5000.000000000000000,190,0.0000000,7.000000000000000,7,0.323216092717000,0.008130106741260
4,Fool Creek,1186:CO:SNTL,5000.000000000000000,295,0.0000000,47.000000000000000,47,0.326412807942000,0.008265518364700
5,Atwater,1308:UT:SNTL,5000.000000000000000,372,0.0000000,2.000000000000000,2,0.328479103661000,0.008352780509530
6,Banner Summit,312:ID:SNTL,5000.000000000000000,393,0.0000000,19.000000000000000,19,0.340470741914000,0.008855386851340
7,Brighton,366:UT:SNTL,5000.000000000000000,447,0.0000000,1.000000000000000,1,0.328502782562000,0.008353779322060
8,Butte,380:CO:SNTL,5000.000000000000000,460,0.0000000,75.000000000000000,75,0.323750128390000,0.008152763733850
9,Idarado,538:CO:SNTL,5000.000000000000000,610,0.0000000,5.000000000000000,5,0.321256970003000,0.008046864307720
10,Independence Camp,539:CA:SNTL,5000.000000000000000,611,0.0000000,1.000000000000000,1,0.325259056913000,0.008216704275790
11,Independence Lake,541:CA:SNTL,5000.000000000000000,613,0.0000000,1.000000000000000,1,0.325190063510000,0.008213783161010
12,Joe Wright,551:CO:SNTL,5000.000000000000000,623,0.0000000,15.000000000000000,15,0.328309138812000,0.008345610379340
13,Mesa Lakes,622:CO:SNTL,5000.000000000000000,690,0.0000000,54.000000000000000,54,0.324186092038000,0.008171249269910
14,Mores Creek Summit,637:ID:SNTL,5000.000000000000000,704,0.0000000,1.000000000000000,1,0.339157927047000,0.008800663163640
15,Niwot,663:CO:SNTL,5000.000000000000000,729,0.0000000,51.000000000000000,51,0.326883699347000,0.008285422701450
16,Red Mountain Pass,713:CO:SNTL,5000.000000000000000,776,0.0000000,10.000000000000000,10,0.321150286661000,0.008042325675010
17,Snowbird,766:UT:SNTL,5000.000000000000000,828,0.0000000,2.000000000000000,2,0.328414711215000,0.008350064209640
18,University Camp,838:CO:SNTL,5000.000000000000000,896,0.0000000,51.000000000000000,51,0.326875946368000,0.008285095077620
19,Bogus Basin,978:ID:SNTL,5000.000000000000000,1017,0.0000000,25.000000000000000,25,0.338572147893000,0.008776222564470
